Handson#7	
TargetTopics:	Function
Contest Link:
ChallengeNo	Question Title
1		Integer array sorting - using function
2		Integer as a sum of two prime numbers 1
3		Sum of Series
4		Function to print the frequency of characters in a string
5		Write a Function to check whether the number is Armstrong or not
6		The Euclidean Algorithm
7		Printing character lines and ascii lines
8		Pig Latin - ly
9		Fibonacci series using recursion
10		Reverse fibonacci series using recursion
11		Factorial using recursion
12		Swapping two variables
	
